Event Title,Appearances
b'At the Infirmary',"b'Monologue, Taiki Shuttle'"
b'Extra Training',"b'Meisho Doto, Monologue, Taiki Shuttle'"
b'Back in Shape!',"b'Monologue, Taiki Shuttle'"
b'Meaty Heaven',"b'Monologue, Taiki Shuttle'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Monologue, Sasami Anshinzawa, Taiki Shuttle'"
b'Friendly Distraction',"b'Taiki Shuttle, Umamusume A, Umamusume B, Umamusume C'"
b'Migraine Blues',"b'Monologue, Taiki Shuttle'"
b'Quick Draw Showdown',"b'Monologue, Taiki Shuttle'"
b'Must-Win Match',"b'Fan A, Fan B, Oguri Cap, Rodeo Lady, Special Week, Taiki Shuttle'"
b'To the Top!',"b'Monologue, Taiki Shuttle'"
b'A Gentle Grace',"b'Grass Wonder, Monologue'"
b'Hidden Heart',"b'Caster, El Condor Pasa, Grass Wonder, Monologue, New Trainer A, Racer, Special Week, Veteran Trainer A'"
b'Eyes of Fire',"b'El Condor Pasa, Grass Wonder, Monologue, New Trainer A, Veteran Trainer A'"
b'The Unyielding Ideal',"b'Caster, El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'My Way',"b'Caster Umamusume, Grass Wonder, Monologue, School PA, Young Umamusume A, Young Umamusume B'"
b'In Step',"b'Grass Wonder, Monologue'"
b'Well-Earned Bond',"b'Grass Wonder, Monologue, Shooting Gallery Staff'"
b'Introducing Grass Wonder!',"b'El Condor Pasa, Grass Wonder, Monologue, Seiun Sky, Special Week'"
"b""The Beast's Successor""","b'El Condor Pasa, Grass Wonder, Maruzensky, Monologue, Reporter A, Seiun Sky, Special Week, Symboli Rudolf'"
b'Before the Debut',"b'Grass Wonder, Monologue'"
b'After the Debut: Never Back Down',"b'Grass Wonder, Monologue, Reporter A'"
b'Before the Asahi Hai F.S.',"b'Grass Wonder, Monologue'"
b'After the Asahi Hai F.S.: Tenacity',"b'Child in the Stands, Grass Wonder, Monologue, Reporter A, Seasoned Fan'"
"b""New Year's Resolutions""","b'Grass Wonder, Monologue'"
b'Gathering of Legends',"b'El Condor Pasa, Grass Wonder, Monologue, Reporter A, Seiun Sky, Special Week'"
b'Before the Japanese Derby',"b'El Condor Pasa, Grass Wonder, Monologue, Seiun Sky, Special Week'"
b'After the Japanese Derby: Kindle the Flame',"b'Caster, El Condor Pasa, Grass Wonder, Maruzensky, Monologue, Seiun Sky, Special Week'"
b'After the Japanese Derby: Sputter',"b'El Condor Pasa, Grass Wonder, Maruzensky, Monologue'"
b'Summer Camp (Year 2) Begins!',"b'Grass Wonder, Monologue'"
b'At Summer Camp (Year 2)',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'Summer Camp (Year 2) Ends',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'Before the Japan Cup',"b'El Condor Pasa, Grass Wonder, Monologue, Reporter A'"
b'After the Japan Cup: Overflowing Heart',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'After the Japan Cup: Strain',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'Out of Reach',"b'Grass Wonder, Maruzensky, Monologue, Reporter A'"
b'Before the Arima Kinen',"b'Grass Wonder, Monologue, Seiun Sky'"
b'After the Arima Kinen: Steadfast',"b'El Condor Pasa, Fan A, Grass Wonder, Monologue, Seiun Sky'"
b'After the Arima Kinen: Drifting',"b'El Condor Pasa, Fan A, Grass Wonder, Monologue, Seiun Sky'"
"b""New Year's Shrine Visit""","b'Grass Wonder, Monologue'"
b'Raffle Time!',"b'Grass Wonder, Monologue, Raffle Clerk'"
"b""Valentine's Day""","b'Grass Wonder, Monologue'"
b'Fan Fest',"b'Boy, Girl, Grass Wonder, Monologue, Mother, Special Week'"
b'Before the Takarazuka Kinen',"b'Grass Wonder, Monologue, Special Week'"
b'After the Takarazuka Kinen: Solemnity',"b'Child in the Stands, El Condor Pasa, Grass Wonder, Monologue, Reporter A, Seasoned Fan, Silence Suzuka, Special Week'"
b'After the Takarazuka Kinen: Refine Thyself',"b'Child in the Stands, El Condor Pasa, Grass Wonder, Monologue, Reporter A, Seasoned Fan, Silence Suzuka, Special Week'"
b'Summer Camp (Year 3) Begins!',"b'Grass Wonder, Maruzensky, Monologue'"
b'Summer Camp (Year 3) Ends',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'Before the Mainichi Okan',"b'El Condor Pasa, Grass Wonder, Maruzensky, Reporter A, Special Week, Symboli Rudolf'"
b'After the Mainichi Okan: That Name',"b'Caster, El Condor Pasa, Grass Wonder, Maruzensky, Monologue, Reporter A, Silence Suzuka, Special Week, Symboli Rudolf'"
b'Rival Awakening',"b'El Condor Pasa, Grass Wonder, Maruzensky, Monologue, Special Week'"
b'Holiday Season',"b'???, Grass Wonder, Monologue, Taiki Shuttle'"
b'Before the Arima Kinen',"b'Caster, El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'After the Arima Kinen: Dyed Blue',"b'Grass Wonder, Maruzensky, Monologue, Special Week'"
b'Hot Spring Getaway',"b'Grass Wonder, Monologue'"
b'Ending (Normal)',"b'Grass Wonder, Monologue'"
b'Beyond the Triple Crown',"b'Caster, Grass Wonder, Monologue, Reporter A, Reporter B, Seiun Sky, Special Week'"
b'Ready for a Challenge',b'Grass Wonder'
b'Not This Time!',b'Grass Wonder'
b'Claw Machine!',"b'Grass Wonder, Monologue'"
b'Claw Machine: Great Success!',"b'Grass Wonder, Monologue'"
b'Claw Machine: Success!',"b'Grass Wonder, Monologue'"
b'Claw Machine: Failure...',"b'Grass Wonder, Monologue'"
b'Claw Machine: Great Success!',"b'Grass Wonder, Monologue'"
b'Claw Machine: Success!',"b'Grass Wonder, Monologue'"
b'Master Trainer',"b'Grass Wonder, Seiun Sky'"
b'Dance Lesson',"b'Grass Wonder, Monologue'"
b'Fan Letter',"b'Grass Wonder, Monologue'"
b'Tumult',"b'Grass Wonder, Monologue'"
b'Competitive',"b'Grass Wonder, Monologue'"
b'Flying Car',"b'Grass Wonder, Monologue'"
b'Errands Have Perks',"b'Clerk A, Grass Wonder, Grocer, Hishi Amazon, Lady A, Lady B, Monologue'"
b'Beauteaful',"b'Grass Wonder, Monologue, Taiki Shuttle'"
b'Tracen Karuta Queen',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'Yamato Nadeshiko',"b'Grass Wonder, Monologue, Old Lady'"
b'Childhoods Apart',"b'Boy, Girl, Grass Wonder, Monologue'"
b'Nadeshiko Gal',"b'Grass Wonder, Monologue, Taiki Shuttle'"
b'Childhood Dream',"b'Grass Wonder, Monologue, Special Week'"
b'Flower Vase',"b'Grass Wonder, Monologue'"
b'In Search of Refreshment',"b'Grass Wonder, Monologue'"
b'One Destination',"b'Caster, Grass Wonder, Maruzensky, Monologue, Symboli Rudolf, Umamusume A'"
b'Night Owl',"b'Grass Wonder, Monologue'"
b'Skin Troubles',b'Grass Wonder'
b'Race Fatigue',"b'Grass Wonder, Monologue'"
b'After Repeated Races...',"b'Grass Wonder, Monologue'"
b'Victory!',b'Grass Wonder'
b'Solid Showing',b'Grass Wonder'
b'Defeat',b'Grass Wonder'
b'No More Losing!',b'Grass Wonder'
b'Sleep Deprived',"b'Grass Wonder, Monologue'"
b'All Refreshed',"b'Grass Wonder, Monologue'"
b'Well-Rested!',"b'Grass Wonder, Monologue'"
b'Praying at the Shrine!',"b'Grass Wonder, Monologue'"
b'Slacking Off',"b'Grass Wonder, Monologue'"
b'Get Well Soon!',"b'Grass Wonder, Monologue'"
"b""Don't Overdo It!""","b'Grass Wonder, Monologue'"
b'At the Infirmary',"b'Grass Wonder, Monologue'"
b'Extra Training',"b'Caster, Grass Wonder, Monologue'"
b'Back in Shape!',"b'Grass Wonder, Monologue'"
b'Together for Tea',"b'Grass Wonder, Monologue'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Grass Wonder, Monologue, Sasami Anshinzawa'"
b'Help! Pre-Test Panic',"b'Grass Wonder, Monologue, Umamusume A, Umamusume B'"
b'Migraine Blues',"b'Grass Wonder, Monologue'"
b'Hidden Meaning',"b'Grass Wonder, Monologue, Seiun Sky'"
"b""A Warrior's Spirit""","b'Bespectacled Underclassman, Grass Wonder, Monologue, Special Week, Underclassman with Braids, Underclassmen'"
b'Principles',"b'Grass Wonder, Man A, Man B, Monologue'"
b'Whimsical Encounter',"b'Boy, Children, El Condor Pasa, Girl, Grass Wonder, Monologue'"
b'Hate to Lose',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'Everlasting Game',"b'Defeated Umamusume, Grass Wonder, Monologue, Seiun Sky'"
b'Noblesse',"b'Caster, Ines Fujin, Mejiro McQueen, Mejiro Ryan, Monologue, New Trainer A, Tazuna Hayakawa, Veteran Trainer A'"
b'Oblige',"b'Mejiro McQueen, Monologue'"
b'Secret',"b'Mejiro McQueen, Mejiro Ryan, Monologue'"
b'Resolute',"b'Gold Ship, Mejiro McQueen, Monologue'"
b'I Was Certainly Not Sleeping!',"b'Mejiro McQueen, Monologue'"
b'Within the Bounds of Etiquette',"b'Mejiro McQueen, Monologue'"
b'A Festive Rendezvous',"b'Mejiro McQueen, Monologue, Staff, Umamusume A, Umamusume B'"
b'Introducing Mejiro McQueen!',"b'Mejiro Dober, Mejiro McQueen, Mejiro Ryan, Monologue, Umamusume A, Umamusume B'"
b'Before the Debut',"b'Mejiro McQueen, Monologue'"
b'After the Debut: Breezy Departure',b'Mejiro McQueen'
b'After the Debut: Toward the Plaque of Glory',b'Mejiro McQueen'
b'Blame Game',"b'Mejiro McQueen, Mejiro Ryan, Monologue, Skilled Trainer A, Skilled Trainer B'"
b'Ever Since',"b'Caster, Mejiro McQueen, Mejiro Ryan, Monologue, Young McQueen, Young Ryan'"
b'Goal Achieved: Pushing Forward!',b'Mejiro McQueen'
"b""New Year's Resolutions""","b'Mejiro McQueen, Monologue'"
b'Summer Camp (Year 2) Begins!',"b'Mejiro McQueen, Monologue'"
b'At Summer Camp (Year 2)',"b'Ines Fujin, Mejiro Dober, Mejiro McQueen, Mejiro Ryan, Monologue'"
b'Summer Camp (Year 2) Ends',b'Mejiro McQueen'
b'Before the Kobe Shimbun Hai',b'Mejiro McQueen'
b'After the Kobe Shimbun Hai: Premonitions',b'Mejiro McQueen'
b'Versus Ryan',"b'Mejiro Dober, Mejiro McQueen, Mejiro Ryan, Monologue'"
b'Before the Kikuka Sho',"b'Mejiro McQueen, Spectator A, Spectator B'"
b'After the Kikuka Sho: Rematch',"b'Mejiro McQueen, Mejiro Ryan, Monologue'"
b'After the Kikuka Sho: Moving Forward',"b'Mejiro McQueen, Mejiro Ryan, Monologue'"
"b""New Year's Shrine Visit""",b'Mejiro McQueen'
b'Raffle Time!',"b'Mejiro McQueen, Monologue, Raffle Clerk'"
"b""Valentine's Day""","b'Mejiro McQueen, Monologue'"
b'Hopes for the Tenno Sho',"b'Gold Ship, Mejiro Dober, Mejiro McQueen, Mejiro Ryan, Monologue, Young McQueen'"
b'Fan Fest',"b'Gold Ship, Mejiro McQueen, Monologue'"
b'Before the Tenno Sho (Spring)',"b'Mejiro McQueen, Mejiro Ryan, Monologue'"
b'After the Tenno Sho (Spring): Dreams Come True',"b'Crowd, Mejiro McQueen, Mejiro Ryan, Monologue, Spectator A, Spectator B, Spectator C'"
b'Heir to the Mejiro Family',"b'Grandmother Mejiro, Mejiro Dober, Mejiro McQueen, Mejiro Ryan, Monologue'"
b'Before the Takarazuka Kinen',"b'Caster, Mejiro McQueen'"
b'After the Takarazuka Kinen: The Strength of a Mejiro',"b'Mejiro McQueen, Mejiro Ryan, Monologue, Spectator A, Spectator B, Spectator C, Spectator D, Spectator E, Spectator F'"
b'After the Takarazuka Kinen: Determination',"b'Mejiro McQueen, Mejiro Ryan, Monologue, Spectator A, Spectator B, Spectator C'"
b'After the Takarazuka Kinen: The Strength of a Mejiro',"b'Mejiro McQueen, Mejiro Ryan, Monologue, Spectator A, Spectator B, Spectator C, Spectator D, Spectator E, Spectator F'"
b'Summer Camp (Year 3) Begins!',"b'Mejiro McQueen, Monologue'"
b'Summer Camp (Year 3) Ends',b'Mejiro McQueen'
b'Before the Tenno Sho (Autumn)',"b'Mejiro McQueen, Monologue'"
b'After the Tenno Sho (Autumn): Untrodden Glory',"b'Crowd, Mejiro Dober, Mejiro McQueen, Mejiro Ryan, Monologue'"
b'Holiday Season',"b'Mejiro McQueen, Monologue'"
b'Hot Spring Getaway',"b'Mejiro McQueen, Monologue'"
b'Ending (Normal)',"b'Mejiro McQueen, Monologue'"
b'Getting Boring',"b'Female Viewer, Interviewer, Male Viewer, Mejiro McQueen, Monologue'"
b'Autumn Congratulations',"b'???, Mejiro McQueen, Monologue, Satono Diamond'"
b'Ready for a Challenge',b'Mejiro McQueen'
b'Not This Time!',b'Mejiro McQueen'
b'Claw Machine!',"b'Mejiro McQueen, Monologue'"
b'Claw Machine: Great Success!',"b'Mejiro McQueen, Monologue'"
b'Claw Machine: Success!',"b'Mejiro McQueen, Monologue'"
b'Claw Machine: Failure...',"b'Mejiro McQueen, Monologue'"
b'Claw Machine: Great Success!',"b'Mejiro McQueen, Monologue'"
b'Claw Machine: Success!',"b'Mejiro McQueen, Monologue'"
b'Master Trainer',"b'Mejiro McQueen, Monologue'"
b'Dance Lesson',"b'Mejiro McQueen, Monologue'"
b'Fan Letter',"b'Mejiro McQueen, Monologue'"
b'Slipped Through the Cracks',"b'Mejiro McQueen, Monologue'"
b'Early-Morning Run',"b'Mejiro McQueen, Monologue'"
b'Calm and Collected?',"b'Mejiro McQueen, Monologue'"
b'Queen of the Island',"b'Mejiro McQueen, Monologue'"
"b""It's Called a Sea Pineapple!""","b'Mejiro McQueen, Monologue'"
b'Cooking Up Memories',"b'Mejiro McQueen, Monologue, Store Employee'"
b'Two Tickets for the Silver Screen',"b'Mejiro McQueen, Monologue'"
b'An Excited Young Lady',"b'Mejiro McQueen, Monologue'"
b'Endless Kingdom',"b'Mejiro McQueen, Monologue'"
b'Bargain Find',"b'Ines Fujin, Mejiro McQueen, Monologue'"
"b""Three Ramen Bowls' Worth of Temptation""","b'Girl with Hair Tied Back, Girl with Short Hair, Mejiro McQueen, Monologue'"
b'The Allure of Racecourse Food',b'Mejiro McQueen'
b'Limit Testing',"b'Mejiro McQueen, Monologue'"
b'Night Owl',"b'Mejiro McQueen, Monologue'"
b'Skin Troubles',"b'Mejiro McQueen, Monologue'"
b'Race Fatigue',"b'Mejiro McQueen, Monologue'"
b'After Repeated Races...',"b'Mejiro McQueen, Monologue'"
b'Victory!',b'Mejiro McQueen'
b'Solid Showing',b'Mejiro McQueen'
b'Defeat',b'Mejiro McQueen'
b'No More Losing!',b'Mejiro McQueen'
b'Sleep Deprived',b'Mejiro McQueen'
b'All Refreshed',b'Mejiro McQueen'
b'Well-Rested!',"b'Mejiro McQueen, Monologue'"
b'Praying at the Shrine!',"b'Coo-Maru, Gold Ship, Mejiro McQueen, Monologue'"
b'Slacking Off',"b'Mejiro McQueen, Monologue'"
b'Get Well Soon!',b'Mejiro McQueen'
"b""Don't Overdo It!""","b'Mejiro McQueen, Monologue'"
b'At the Infirmary',"b'Mejiro McQueen, Monologue'"
b'Extra Training',"b'Mejiro McQueen, Monologue'"
b'Back in Shape!',"b'Mejiro McQueen, Monologue'"
b'Attack of the Chestnut Feast!',"b'Mejiro McQueen, Monologue'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, Mejiro McQueen, Monologue, Sasami Anshinzawa'"
b'Attack of the Space Baseball Zombies!',b'Mejiro McQueen'
b'Migraine Blues',"b'Mejiro McQueen, Monologue'"
b'Resolve and Duty',"b'Camera Crew Member, Mejiro McQueen, Monologue, Presenter'"
"b""My Roommate's Concern""","b'Ikuno Dictus, Mejiro McQueen'"
b'Late-Night Fanservice Training',"b'Mejiro McQueen, Monologue'"
b'My Family Makes a Difficult Decision',"b'Mejiro McQueen, Mejiro Palmer, Mejiro Ryan, Monologue, The Three'"
b'Elegance',"b'Mejiro Household Staff, Mejiro McQueen, Mejiro Ryan, Monologue'"
"b'My Rival, No Matter the Stage'","b'Mejiro McQueen, Monologue, Tokai Teio'"
"b""It's a Bird... It's a Plane... It's El!""","b'Caster, El Condor Pasa, Monologue, Trainers, Veteran Trainer A, Veteran Trainer B'"
b'The Scouting Championship!',"b'El Condor Pasa, Grass Wonder, Monologue, New Trainer A, Skilled Trainer A, Veteran Trainer A, Veteran Trainer B'"
"b""The Girl with Her Papa's Mask!""","b'El Condor Pasa, Monologue'"
b'One Condor to Rule Them All!',"b'El Condor Pasa, Monologue'"
b'Energy! Courage! Grit!',"b'El Condor Pasa, Monologue, Umamusume A, Umamusume B'"
b'The Family Sauce!',"b'El Condor Pasa, Monologue, Store Clerk'"
"b""El's Training from Hell!""","b'El Condor Pasa, Monologue'"
b'Introducing El Condor Pasa!',"b'El Condor Pasa, Grass Wonder, King Halo, Monologue, Pigeon, Seiun Sky, Special Week'"
b'Before the Debut',"b'El Condor Pasa, King Halo, Monologue, Special Week'"
b'After the Debut: A Shocking Announcement!',"b'El Condor Pasa, Everyone, Grass Wonder, King Halo, Monologue, Seiun Sky, Special Week'"
b'Playing Hero',"b'El Condor Pasa, Grass Wonder, King Halo, Monologue, Seeking the Pearl, Seiun Sky, Special Week'"
"b""New Year's Resolutions""","b'El Condor Pasa, Monologue'"
b'Before the Kyodo News Hai',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'After the Kyodo News Hai: Following in Her Footsteps',"b'El Condor Pasa, Everyone, Grass Wonder, Monologue, Seeking the Pearl, Seiun Sky, Special Week'"
b'A Fighting Spirit with No Outlet',"b'El Condor Pasa, Grass Wonder, King Halo, Monologue, Seiun Sky, Special Week'"
b'Before the NHK Mile C.',"b'El Condor Pasa, Monologue'"
b'After the NHK Mile C.: A Sharp Turn!',"b'El Condor Pasa, Grass Wonder, Monologue, Seiun Sky, Special Week'"
b'Before the Japanese Derby',"b'El Condor Pasa, Monologue, Special Week'"
b'After the Japanese Derby: A Frustrating Victory',"b'Caster, El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'After the Japanese Derby: Harsh Reality',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'Summer Camp (Year 2) Begins!',"b'El Condor Pasa, Grass Wonder, Mambo, Monologue'"
b'At Summer Camp (Year 2)',"b'El Condor Pasa, Grass Wonder, Monologue, Seiun Sky, Silence Suzuka, Special Week'"
b'Summer Camp (Year 2) Ends',"b'El Condor Pasa, Grass Wonder, King Halo, Monologue, Seiun Sky, Silence Suzuka, Special Week'"
b'Before the Mainichi Okan',"b'El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka'"
b'After the Mainichi Okan: The Price of Pursuit',"b'Caster, El Condor Pasa, Grass Wonder, Monologue'"
b'After the Mainichi Okan: Broken Wings',"b'Caster, El Condor Pasa, Grass Wonder, Monologue'"
b'Unmasked',"b'El Condor Pasa, Grass Wonder, Monologue'"
"b""New Year's Shrine Visit""","b'El Condor Pasa, Grass Wonder, Monologue, Special Week, The Three'"
b'Raffle Time!',"b'El Condor Pasa, Monologue, Raffle Clerk'"
"b""Valentine's Day""","b'El Condor Pasa, Monologue'"
b'Fan Fest',"b'El Condor Pasa, Event Commentator, Fan A, Fan B, Interviewer, Monologue, Silence Suzuka, Special Week, Spectators'"
b'Before the Takarazuka Kinen',"b'El Condor Pasa, Monologue, Silence Suzuka'"
b'After the Takarazuka Kinen: A Successful Comeback!',"b'Caster, El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka, Special Week, Spectators'"
b'Summer Camp (Year 3) Begins!',"b'El Condor Pasa, King Halo, Matikanefukukitaru, Monologue'"
b'Carnaval for Tomorrow',"b'El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka, Special Week'"
b'Summer Camp (Year 3) Ends',"b'El Condor Pasa, Monologue'"
b'Get the Party Started!',"b'Caster, El Condor Pasa, Fans, Grass Wonder, Monologue, Spe and Grass, Special Week'"
b'Before the Japan Cup',"b'El Condor Pasa, Fan A, Fan B, Fans, Monologue, Special Week'"
b'After the Japan Cup: Something to Say',"b'Caster, El Condor Pasa, Monologue, Special Week, Spectators, Trainer'"
b'Holiday Season',"b'Boy, El Condor Pasa, Monologue, Shopping District Staff'"
b'Before the Arima Kinen',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'After the Arima Kinen: Bringing Passion to the World!',"b'Caster, El Condor Pasa, Grass Wonder, Monologue, Special Week, Spectators'"
b'Hot Spring Getaway',"b'El Condor Pasa, Monologue'"
b'Ending (Normal)',"b'Airport Security, El Condor Pasa, Grass Wonder, Monologue'"
b'Flying Higher than Anyone',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'Mile Secrets!',"b'El Condor Pasa, Interviewer, Monologue'"
b'Ready for a Challenge',b'El Condor Pasa'
b'Not This Time!',b'El Condor Pasa'
b'Claw Machine!',"b'El Condor Pasa, Monologue'"
b'Claw Machine: Great Success!',"b'El Condor Pasa, Monologue'"
b'Claw Machine: Success!',"b'El Condor Pasa, Monologue'"
b'Claw Machine: Failure...',"b'El Condor Pasa, Monologue'"
b'Claw Machine: Great Success!',"b'El Condor Pasa, Monologue'"
b'Claw Machine: Success!',"b'El Condor Pasa, Monologue'"
b'Master Trainer',"b'El Condor Pasa, Monologue, Special Week'"
b'Dance Lesson',"b'El Condor Pasa, Monologue'"
b'Fan Letter',"b'El Condor Pasa, Monologue'"
b'Stupid Time Difference...',"b'El Condor Pasa, Monologue'"
b'Source of Power',"b'El Condor Pasa, Monologue'"
b'Runaway Mambo',"b'El Condor Pasa, Mambo, Monologue'"
b'A Personalized Mask',"b'El Condor Pasa, Monologue'"
b'Salsa Roja',"b'El Condor Pasa, Hishi Amazon'"
b'Go for the Extra-Large Pizza!',"b'El Condor Pasa, Monologue, Taiki Shuttle'"
b'The Wrestler I Admire',"b'El Condor Pasa, Ellie Condra, Monologue'"
b'Shocking Retirement',"b'Agency Staff, El Condor Pasa, Monologue'"
b'Renewed Resolve',"b'El Condor Pasa, Ellie Condra, Monologue'"
b'The Academy at Night',"b'El Condor Pasa, Monologue'"
b'Flower Language',"b'El Condor Pasa, Monologue'"
b'Lucha Libre Soul',"b'El Condor Pasa, El and Taiki, Fan, Monologue, Taiki Shuttle, Umamusume A, Umamusume B'"
b'El Especial Explosion!',"b'Air Groove, El Condor Pasa, Grass Wonder, Monologue, Seeking the Pearl'"
b'Night Owl',"b'El Condor Pasa, Monologue'"
b'Skin Troubles',"b'El Condor Pasa, Monologue'"
b'Race Fatigue',"b'El Condor Pasa, Monologue'"
b'After Repeated Races...',"b'El Condor Pasa, Monologue'"
b'Victory!',b'El Condor Pasa'
b'Solid Showing',b'El Condor Pasa'
b'Defeat',b'El Condor Pasa'
b'No More Losing!',"b'El Condor Pasa, Monologue'"
b'Sleep Deprived',"b'El Condor Pasa, Monologue'"
b'All Refreshed',b'El Condor Pasa'
b'Well-Rested!',"b'El Condor Pasa, Monologue'"
b'Praying at the Shrine!',"b'El Condor Pasa, Monologue'"
b'Slacking Off',"b'El Condor Pasa, Monologue, Umamusume A, Umamusume B'"
b'Get Well Soon!',"b'El Condor Pasa, Monologue'"
"b""Don't Overdo It!""","b'El Condor Pasa, Monologue'"
b'At the Infirmary',"b'El Condor Pasa, Monologue, Wrestling Commentator'"
b'Extra Training',"b'El Condor Pasa, Monologue'"
b'Back in Shape!',"b'El Condor Pasa, Grass Wonder, Monologue'"
b'Hot and Spicy!',"b'El Condor Pasa, Monologue'"
"b'Just an Acupuncturist, No Worries! \xe2\x98\x86'","b'???, El Condor Pasa, Monologue, Sasami Anshinzawa'"
b'Forget Something?',"b'El Condor Pasa, Monologue'"
b'Migraine Blues',"b'El Condor Pasa, Monologue'"
"b""Determination of the World's Strongest""","b'El Condor Pasa, Monologue'"
b'Passion-filled Outfit',"b'El Condor Pasa, Grass Wonder'"
b'Cactus Feast',"b'El Condor Pasa, Monologue, Special Week'"
b'Passion! Connection! Guidance!',"b'Biko Pegasus, El Condor Pasa, Monologue'"
b'Song of Courage',"b'El Condor Pasa, Mejiro Dober, Monologue'"
b'A Challenge from the Past',"b'El Condor Pasa, Grass Wonder'"
b'Vying for the Throne',"b'Caster, Monologue, New Trainer A, Symboli Rudolf, Trainers'"
b'A Fish out of Water',"b'Monologue, Symboli Rudolf, Umamusume A, Umamusume B'"
b'A Smile Worth a Thousand Words',"b'Grass Wonder, Maruzensky, Monologue, Reporter A, Symboli Rudolf'"
b'On the Same Wavelength',"b'Caster, Monologue, Symboli Rudolf, Tokai Teio, Veteran Trainer A'"
b'One Step at a Time',"b'Monologue, Symboli Rudolf, Umamusume, Umamusume A, Umamusume B'"
b'Friendship Is a Bridge',"b'Monologue, Symboli Rudolf, Umamusume A, Umamusume B'"
"b'Work Hard, Play Hard'","b'???, Monologue, Symboli Rudolf, Umamusume, Umamusume A, Umamusume B'"
b'Introducing Symboli Rudolf!',"b'Monologue, Passerby A, Passerby B, Reporter A, Reporter B, Student A, Student B, Student C, Students, Symboli Rudolf'"
b'Before the Debut',"b'Monologue, Symboli Rudolf'"
b'After the Debut: Commence the Conquest',"b'Monologue, Reporter A, Reporter B, Symboli Rudolf'"
b'Trusty Aids',"b'Air Groove, Monologue, Narita Brian, Symboli Rudolf'"
b'Before the Saudi Arabia R.C.',"b'Monologue, Student Council General Manager, Symboli Rudolf'"
b'After the Saudi Arabia R.C.: Unstoppable Force',"b'Maruzensky, Monologue, Student Council General Manager, Symboli Rudolf'"
b'After the Saudi Arabia R.C.: Grand Ambition',"b'Maruzensky, Monologue, Student Council General Manager, Symboli Rudolf'"
"b""New Year's Resolutions""","b'Monologue, Symboli Rudolf'"
b'Silent Contemplation',"b'Air Groove, Monologue, Narita Brian, Student Council General Manager, Symboli Rudolf'"
b'Before the Satsuki Sho',"b'Monologue, Symboli Rudolf'"
b'After the Satsuki Sho: One Crown Attained',"b'Air Groove, Monologue, Spectators, Student Council General Manager, Symboli Rudolf'"
b'After the Satsuki Sho: Through Thick and Thin',"b'Air Groove, Monologue, Student Council General Manager, Symboli Rudolf'"
b'Discord',"b'Air Groove, Classmate, Monologue, Narita Brian, Symboli Rudolf'"
b'Before the Japanese Derby',b'Symboli Rudolf'
b'After the Japanese Derby: Two Crowns Attained',"b'Air Groove, Crowd, Monologue, Symboli Rudolf'"
b'After the Japanese Derby: Herculean Effort',"b'Air Groove, Crowd, Monologue, Symboli Rudolf'"
b'After the Japanese Derby: Unyielding Diligence',"b'Air Groove, Monologue, Symboli Rudolf'"
b'Summer Camp (Year 2) Begins!',"b'Fuji Kiseki, Hishi Amazon, Maruzensky, Monologue, Symboli Rudolf'"
b'At Summer Camp (Year 2)',"b'Fuji Kiseki, Hishi Amazon, Ines Fujin, Ines Fujin and Mejiro Ryan, Mejiro Ryan, Monologue, Students, Symboli Rudolf'"
b'Summer Camp (Year 2) Ends',"b'Ines Fujin, Mejiro Ryan, Monologue, Symboli Rudolf'"
b'Before the Kikuka Sho',"b'Monologue, Symboli Rudolf'"
b'After the Kikuka Sho: Three Crowns Attained',"b'???, Caster, Monologue, Narita Brian, Reporter, Symboli Rudolf'"
b'After the Kikuka Sho: Mark of Strength',"b'???, Monologue, Narita Brian, Reporter, Symboli Rudolf'"
b'After the Kikuka Sho: Unwavering Principles',"b'???, Monologue, Narita Brian, Reporter, Symboli Rudolf'"
b'Before the Arima Kinen',"b'Monologue, Spectator A, Spectator B, Spectators, Symboli Rudolf'"
"b""After the Arima Kinen: Where There's a Will""","b'Air Groove, Monologue, Symboli Rudolf'"
b'After the Arima Kinen: Hidden Ambition',"b'Air Groove, Monologue, Symboli Rudolf'"
